"Harm1"	"Harm2"	"Harm3"	"Harm4"	"Fair1"	"Fair2"	"Fair3"	"Fair4"	"Ingroup1"	"Ingroup2"	"Ingroup3"	"Ingroup4"	"Auth1"	"Auth2"	"Auth3"	"Auth4"	"Pure1"	"Pure2"	"Pure3"	"Pure4"
"148"	4	4	3	2	4	4	3	3	2	4	2	4	2	3	4	2	3	3	5	4
"149"	5	5	5	6	5	4	5	5	4	4	4	4	3	2	5	3	2	2	2	2
"150"	4	3	4	5	5	4	6	1	1	1	1	1	1	1	1	1	5	5	1	1
"151"	5	5	5	6	5	3	5	5	1	3	2	5	2	2	6	5	3	3	4	3
"152"	4	5	6	5	5	6	6	3	2	3	2	2	3	1	4	2	2	2	3	2
"153"	4	4	4	5	2	4	4	4	4	2	4	4	5	4	6	2	2	2	1	4
"154"	6	6	6	6	6	5	5	5	1	2	1	1	1	1	1	1	1	1	1	1
"155"	5	4	5	5	5	5	6	6	1	5	5	3	3	1	6	4	5	6	3	4
"156"	3	3	5	6	3	3	6	6	2	1	6	6	3	2	6	1	3	5	5	5
"157"	6	6	6	6	6	6	6	5	3	3	5	5	3	4	6	4	5	3	5	5
"158"	5	3	5	5	4	3	6	4	2	2	4	2	3	1	5	2	2	1	1	1
"159"	5	4	6	6	4	6	5	6	1	2	3	5	3	2	6	1	3	2	6	6
"160"	4	6	6	6	4	5	6	6	6	6	6	3	5	4	5	5	6	6	6	6
"161"	4	5	4	4	5	3	4	4	1	2	2	2	2	3	4	1	3	1	1	1
"162"	4	3	6	6	4	4	5	5	2	3	5	5	3	4	5	1	2	2	2	2
"163"	5	5	5	6	5	6	4	5	3	3	4	5	2	5	4	3	3	4	2	1
"164"	6	6	5	6	5	6	3	5	2	6	3	5	5	5	6	5	5	5	5	5
"165"	2	2	4	5	1	1	4	5	2	1	6	2	1	2	6	4	1	1	6	6
"166"	4	2	5	6	3	4	4	4	3	5	5	4	4	3	5	4	5	3	4	5
"167"	4	5	6	6	5	5	6	5	4	3	4	5	6	4	6	4	6	5	5	6
"168"	4	3	5	5	3	3	5	5	3	3	5	5	3	3	5	2	4	2	4	4
"169"	2	2	3	6	3	3	2	6	2	2	5	4	3	3	5	5	4	2	2	3
"170"	5	5	5	6	3	5	6	6	1	2	5	5	1	1	1	3	1	1	4	1
"171"	4	3	5	5	4	4	5	5	2	4	4	5	3	3	5	6	2	5	2	2
"172"	4	4	4	3	4	5	5	5	1	2	5	2	2	1	4	2	1	4	1	1
"173"	6	4	6	6	1	5	6	6	1	1	6	3	5	1	6	1	5	3	6	5
"174"	5	4	3	5	5	4	2	5	5	2	5	4	2	2	5	2	2	1	2	2
"175"	5	5	6	6	6	6	6	6	1	2	5	2	2	1	2	1	1	1	1	1
"176"	5	5	6	6	5	5	5	6	5	4	5	6	5	5	6	5	6	4	5	4
"177"	2	6	6	6	6	5	6	6	1	1	5	5	1	1	4	1	4	1	1	4
"178"	2	4	2	2	3	5	4	3	3	2	4	4	2	1	2	4	5	3	3	2
"179"	4	5	3	4	5	5	6	5	2	2	3	2	1	1	2	4	2	1	1	1
"180"	5	6	6	5	5	6	6	3	4	4	5	2	5	3	6	6	6	2	4	3
"181"	5	3	5	6	4	6	5	5	3	4	5	5	4	3	6	6	6	3	6	6
"182"	5	6	5	6	5	5	6	5	5	5	5	5	6	4	6	4	5	4	4	4
"183"	6	5	6	4	6	5	5	6	2	3	4	4	2	1	5	4	1	6	6	2
"184"	4	3	6	6	3	4	5	4	2	4	3	4	2	2	5	3	4	3	4	5
"185"	4	3	6	5	3	4	4	5	1	1	4	4	2	2	6	6	6	4	6	5
"186"	5	6	6	6	5	5	5	3	2	3	5	3	3	2	5	2	2	3	2	2
"187"	3	4	5	2	4	4	2	4	3	4	6	5	2	3	6	5	6	4	4	5
"188"	5	5	5	6	6	6	6	6	2	1	5	1	4	2	5	2	4	2	3	2
"189"	3	3	3	1	3	5	4	3	1	3	1	1	3	2	5	6	4	3	4	4
"190"	6	3	6	5	3	6	3	5	2	5	5	3	6	5	6	6	5	4	4	6
"191"	6	5	5	6	5	5	6	5	1	2	5	5	2	1	4	1	1	2	4	3
"192"	5	4	4	5	3	4	4	4	4	4	4	2	3	3	5	4	2	2	2	2
"193"	6	3	5	6	5	3	5	3	1	2	4	3	4	2	4	3	5	3	4	4
"194"	3	2	5	3	2	2	4	3	2	1	4	2	1	1	2	1	2	1	1	2
"195"	3	5	3	4	5	5	5	5	2	4	2	2	1	2	2	4	2	3	2	2
"196"	5	5	5	6	6	6	5	5	4	5	6	5	5	4	6	5	5	4	5	5
"197"	4	3	1	1	6	6	6	6	3	6	6	3	5	1	6	6	2	2	1	1
"198"	5	4	4	6	5	4	5	5	2	2	3	3	3	3	4	5	5	5	5	3
"199"	4	5	6	5	3	3	5	5	2	3	4	3	3	2	4	5	3	3	4	5
"200"	6	5	5	6	5	5	5	5	1	2	1	1	2	1	1	1	1	1	1	1
"201"	2	4	5	6	5	6	6	6	1	4	3	3	2	2	6	5	3	1	2	5
"202"	3	5	6	6	4	5	5	4	2	4	5	2	4	5	5	1	3	2	3	5
